time;TAmb;T1;T2
3046;18.36;29;21.19
3052;18.36;29;21.19
3058;18.36;29;21.19
3064;18.36;29;21.19
3069;17.87;29;21.19
3075;18.36;29;21.19
3081;18.36;29.06;21.19
3087;18.36;29.06;21.19
3093;18.36;29;21.19
3098;18.36;29;21.19
3104;18.36;29;21.19
3110;18.36;29;21.19
3116;18.36;29;21.19
3122;18.36;29;21.19
3128;18.36;29;21.19
3133;18.36;29;21.19
3139;18.36;29;21.19
3145;18.36;29;21.19
3151;18.36;29;21.19
3157;18.36;29;21.19
3163;17.87;29;21.19
3168;18.36;28.94;21.19
3174;18.36;29;21.19
3180;17.87;29;21.19
3186;18.36;29;21.19
3192;18.36;29;21.19
3198;18.85;29;21.19
3203;18.36;28.94;21.19
3209;18.36;29;21.19
3215;18.36;29;21.19
3221;18.36;29;21.19
3227;18.36;29;21.19
3232;18.36;28.94;21.19
3238;18.36;28.94;21.25
3244;18.36;29;21.25
3250;18.36;28.94;21.19
3256;18.36;28.94;21.25
3262;18.36;28.94;21.19
3267;18.36;28.94;21.19
3273;18.36;29;21.25
3279;17.87;28.94;21.25
3285;18.36;28.94;21.19
3291;18.36;29;21.25
3297;18.36;29;21.25
3302;18.36;29;21.25
3308;18.36;28.94;21.25
3314;18.36;28.94;21.25
3320;18.36;28.94;21.25
3326;18.36;28.94;21.25
3331;17.87;28.94;21.25
3337;17.87;28.94;21.25
3343;17.87;28.94;21.25
3349;18.36;28.94;21.25
3355;18.36;28.94;21.25
3361;18.36;28.94;21.25
3366;18.36;28.94;21.25
3372;18.36;28.94;21.25
3378;18.36;28.94;21.25
3384;18.36;28.94;21.25
3390;18.36;28.94;21.25
3396;18.36;28.94;21.25
3401;18.36;28.94;21.25
3407;18.36;28.94;21.25
3413;18.85;28.94;21.25
3419;18.36;29;21.25
3425;18.36;29;21.25
3431;17.87;29;21.25
3436;18.36;29;21.25
3442;18.36;29;21.25
3448;18.36;29;21.25
3454;18.36;29;21.25
3460;17.87;29;21.25
3465;18.36;29;21.25
3471;18.36;29;21.25
3477;18.36;29;21.25
3483;18.36;29.06;21.25
3489;18.36;29.06;21.25
3495;18.36;29.06;21.31
3500;18.36;29.06;21.25
3506;18.36;29.06;21.25
3512;18.36;29.06;21.25
3518;18.36;29.06;21.25
3524;18.36;29.06;21.31
3530;18.36;29.06;21.25
3535;18.36;29.12;21.31
3541;18.36;29.06;21.25
3547;18.36;29.06;21.31
3553;18.36;29.06;21.31
3559;18.36;29.12;21.31
3564;18.36;29.12;21.31
3570;18.36;29.12;21.31
3576;18.36;29.12;21.31
3582;17.87;29.12;21.31
3588;18.36;29.12;21.31
3594;18.36;29.12;21.31
3599;18.85;29.12;21.31
3605;18.36;29.12;21.31
3611;18.36;29.12;21.31
3617;18.36;29.12;21.31
3623;18.36;29.19;21.31
3629;18.36;29.12;21.31
3634;18.36;29.12;21.31
3640;18.36;29.12;21.31
3646;18.36;29.19;21.31
3652;18.36;29.19;21.31
3658;18.36;29.19;21.31
3664;18.36;29.19;21.31
3669;18.36;29.19;21.31
3675;18.36;29.19;21.31
3681;18.36;29.19;21.31
3687;18.85;29.19;21.31
3693;18.85;29.19;21.31
3698;18.36;29.19;21.31
3704;18.36;29.19;21.31
3710;17.87;29.19;21.31
3716;17.87;29.19;21.31
3722;18.36;29.19;21.31
3728;18.36;29.19;21.31
3733;18.36;29.19;21.31
3739;18.36;29.19;21.31
3745;18.36;29.19;21.31
3751;18.36;29.19;21.31
3757;18.36;29.19;21.31
3763;18.36;29.19;21.31
3768;18.85;29.25;21.31
3774;18.36;29.25;21.31
3780;18.36;29.25;21.31
3786;18.36;29.25;21.37
3792;18.36;29.25;21.31
3797;18.36;29.25;21.31
3803;18.36;29.19;21.37
3809;18.36;29.25;21.31
3815;18.36;29.25;21.37
3821;18.36;29.25;21.37
3827;18.36;29.25;21.37
3832;18.85;29.25;21.37
3838;18.36;29.25;21.31
3844;18.36;29.25;21.37
3850;18.85;29.25;21.37
3856;18.85;29.25;21.37
3862;18.36;29.25;21.37
3867;18.36;29.25;21.37
3873;18.36;29.25;21.37
3879;18.36;29.25;21.37
3885;18.36;29.25;21.37
3891;18.85;29.25;21.37
3897;18.36;29.25;21.37
3902;18.36;29.25;21.37
3908;18.36;29.25;21.37
3914;18.36;29.25;21.37
3920;18.36;29.25;21.37
3926;18.36;29.25;21.37
3931;18.36;29.25;21.37
3937;18.36;29.25;21.37
3943;18.36;29.25;21.37
3949;18.36;29.25;21.37
3955;18.36;29.31;21.37
3961;18.36;29.25;21.37
3966;18.85;29.31;21.37
3972;18.36;29.31;21.37
3978;18.36;29.31;21.37
3984;18.85;29.31;21.37
3990;18.36;29.31;21.37
3996;18.36;29.31;21.37
4001;18.36;29.31;21.37
4007;18.36;29.31;21.37
4013;18.36;29.25;21.37
4019;18.36;29.25;21.37
4025;18.36;29.31;21.37
4030;18.36;29.31;21.37
4036;18.36;29.31;21.37
4042;18.36;29.31;21.44
4048;18.36;29.31;21.37
4054;18.85;29.31;21.37
4060;18.36;29.31;21.37
4065;18.85;29.31;21.37
4071;18.36;29.31;21.44
4077;18.36;29.31;21.44
4083;18.36;29.31;21.37
4089;18.85;29.31;21.44
4095;18.36;29.31;21.44
4100;18.85;29.31;21.37
4106;18.85;29.31;21.44
4112;18.36;29.31;21.44
4118;18.36;29.31;21.44
4124;18.36;29.31;21.44
4130;18.36;29.31;21.44
4135;18.36;29.31;21.44
4141;18.85;29.31;21.44
4147;18.36;29.31;21.44
4153;18.36;29.31;21.44
4159;18.36;29.31;21.44
4164;18.85;29.31;21.44
4170;18.36;29.31;21.44
4176;18.85;29.31;21.44
4182;18.36;29.31;21.44
4188;18.36;29.31;21.44
4194;18.36;29.31;21.44
4199;18.85;29.31;21.44
4205;18.36;29.31;21.44
4211;18.85;29.31;21.44
4217;18.36;29.31;21.44
4223;18.85;29.31;21.44
4229;18.36;29.31;21.44
4234;18.36;29.31;21.44
4240;18.36;29.31;21.44
4246;18.36;29.31;21.44
4252;18.36;29.31;21.44
4258;18.85;29.31;21.44
4263;18.85;29.31;21.44
4269;18.36;29.31;21.44
4275;18.36;29.31;21.44
4281;18.36;29.31;21.44
4287;18.36;29.31;21.44
4293;18.85;29.31;21.44
4298;18.85;29.31;21.5
4304;18.36;29.31;21.44
4310;18.85;29.31;21.44
4316;18.36;29.31;21.5
4322;18.85;29.31;21.44
4328;18.36;29.37;21.44
